node:116 rate:1.857 new_rtt4.176 c:1.190 rttpred:3813.006 rtttarget:5176.000 rttmin4176.000 e:-1.363 eold:-1.213 eavg:-3.832 tim:20
node:116 rate:1.000 new_rtt21.267 c:3.044 rttpred:12929.925 rtttarget:13264.000 rttmin12264.000 e:-0.334 eold:21.969 eavg:21.922 tim:25
node:116 rate:2.209 new_rtt4.441 c:0.995 rttpred:4671.975 rtttarget:5176.000 rttmin4176.000 e:-0.504 eold:-1.363 eavg:-3.080 tim:21
node:116 rate:2.482 new_rtt12.425 c:1.046 rttpred:12575.501 rtttarget:13264.000 rttmin12264.000 e:-0.688 eold:-1.187 eavg:-2.729 tim:17
node:116 rate:2.198 new_rtt4.612 c:1.038 rttpred:4841.952 rtttarget:5176.000 rttmin4176.000 e:-0.334 eold:-0.504 eavg:-2.201 tim:22
node:116 rate:3.000 new_rtt13.048 c:0.991 rttpred:12119.767 rtttarget:13264.000 rttmin12264.000 e:-1.144 eold:-0.334 eavg:20.491 tim:26
node:116 rate:2.283 new_rtt5.355 c:0.699 rttpred:6489.825 rtttarget:5176.000 rttmin4176.000 e:1.314 eold:-0.334 eavg:0.476 tim:23
node:116 rate:2.597 new_rtt12.355 c:1.176 rttpred:12187.128 rtttarget:13264.000 rttmin12264.000 e:-1.077 eold:-0.688 eavg:-2.953 tim:18
node:116 rate:1.000 new_rtt12.305 c:0.783 rttpred:12161.182 rtttarget:11074.500 rttmin12305.000 e:1.087 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.596 new_rtt7.463 c:0.065 rttpred:10207.778 rtttarget:5176.000 rttmin4176.000 e:5.032 eold:1.314 eavg:6.012 tim:24
node:116 rate:2.972 new_rtt16.049 c:-0.018 rttpred:17634.792 rtttarget:13264.000 rttmin12264.000 e:4.371 eold:-1.144 eavg:2.892 tim:27
node:116 rate:3.054 new_rtt12.291 c:1.149 rttpred:12127.566 rtttarget:13264.000 rttmin12264.000 e:-1.136 eold:-1.077 eavg:-2.902 tim:19
node:116 rate:1.000 new_rtt7.416 c:1.658 rttpred:4134.893 rtttarget:5176.000 rttmin4176.000 e:-1.041 eold:5.032 eavg:5.304 tim:25
node:116 rate:1.000 new_rtt12.349 c:0.868 rttpred:12275.397 rtttarget:11074.500 rttmin12305.000 e:1.201 eold:1.087 eavg:0.000 tim:2
node:116 rate:1.658 new_rtt5.344 c:1.015 rttpred:4417.477 rtttarget:5176.000 rttmin4176.000 e:-0.759 eold:-1.041 eavg:3.232 tim:26
node:116 rate:3.507 new_rtt12.375 c:1.087 rttpred:12412.687 rtttarget:13264.000 rttmin12264.000 e:-0.851 eold:-1.136 eavg:-3.065 tim:20
node:116 rate:1.684 new_rtt4.226 c:1.201 rttpred:3943.148 rtttarget:5176.000 rttmin4176.000 e:-1.233 eold:-0.759 eavg:-3.032 tim:27
node:116 rate:1.000 new_rtt21.554 c:-2.296 rttpred:30884.555 rtttarget:13264.000 rttmin12264.000 e:17.621 eold:4.371 eavg:20.847 tim:28
node:116 rate:2.022 new_rtt4.220 c:1.137 rttpred:4031.190 rtttarget:5176.000 rttmin4176.000 e:-1.145 eold:-1.233 eavg:-3.136 tim:28
node:116 rate:1.000 new_rtt12.264 c:0.893 rttpred:12010.789 rtttarget:11037.600 rttmin12264.000 e:0.973 eold:1.201 eavg:3.261 tim:3
node:116 rate:3.814 new_rtt12.372 c:1.143 rttpred:12271.423 rtttarget:13264.000 rttmin12264.000 e:-0.993 eold:-0.851 eavg:-2.980 tim:21
node:116 rate:2.299 new_rtt4.964 c:0.781 rttpred:5785.628 rtttarget:5176.000 rttmin4176.000 e:0.610 eold:-1.145 eavg:-1.768 tim:29
node:116 rate:1.000 new_rtt13.911 c:4.478 rttpred:4044.576 rtttarget:13264.000 rttmin12264.000 e:-9.219 eold:17.621 eavg:12.772 tim:29
node:116 rate:4.360 new_rtt12.329 c:1.150 rttpred:12165.846 rtttarget:13264.000 rttmin12264.000 e:-1.098 eold:-0.993 eavg:-2.942 tim:22
node:116 rate:1.000 new_rtt12.285 c:1.301 rttpred:12189.982 rtttarget:13264.000 rttmin12264.000 e:-1.074 eold:0.973 eavg:1.100 tim:4
node:116 rate:1.796 new_rtt8.052 c:-0.594 rttpred:13082.965 rtttarget:5176.000 rttmin4176.000 e:7.907 eold:0.610 eavg:7.372 tim:30
node:116 rate:3.000 new_rtt13.038 c:0.192 rttpred:12322.985 rtttarget:13264.000 rttmin12264.000 e:-0.941 eold:-9.219 eavg:7.460 tim:30
node:116 rate:5.013 new_rtt12.422 c:1.084 rttpred:12442.916 rtttarget:13264.000 rttmin12264.000 e:-0.821 eold:-1.098 eavg:-2.912 tim:23
node:116 rate:1.000 new_rtt11.016 c:0.996 rttpred:8552.943 rtttarget:5176.000 rttmin4176.000 e:3.377 eold:7.907 eavg:11.894 tim:31
node:116 rate:1.301 new_rtt12.337 c:1.100 rttpred:12280.018 rtttarget:13264.000 rttmin12264.000 e:-0.984 eold:-1.074 eavg:-1.085 tim:5
node:116 rate:5.431 new_rtt12.297 c:1.201 rttpred:12005.359 rtttarget:13264.000 rttmin12264.000 e:-1.259 eold:-0.821 eavg:-3.178 tim:24
node:116 rate:1.000 new_rtt6.998 c:1.347 rttpred:4596.413 rtttarget:5176.000 rttmin4176.000 e:-0.580 eold:3.377 eavg:10.704 tim:32
node:116 rate:1.432 new_rtt12.290 c:1.169 rttpred:12087.906 rtttarget:13264.000 rttmin12264.000 e:-1.176 eold:-0.984 eavg:-3.234 tim:6
node:116 rate:1.347 new_rtt4.214 c:1.030 rttpred:4623.489 rtttarget:5176.000 rttmin4176.000 e:-0.553 eold:-0.580 eavg:2.245 tim:33
node:116 rate:1.000 new_rtt21.721 c:-3.261 rttpred:33591.439 rtttarget:13264.000 rttmin12264.000 e:20.327 eold:-0.941 eavg:10.167 tim:31
node:116 rate:6.525 new_rtt12.362 c:1.089 rttpred:12341.845 rtttarget:13264.000 rttmin12264.000 e:-0.922 eold:-1.259 eavg:-3.002 tim:25
node:116 rate:1.387 new_rtt4.394 c:1.184 rttpred:4091.048 rtttarget:5176.000 rttmin4176.000 e:-1.085 eold:-0.553 eavg:-2.217 tim:34
node:116 rate:1.642 new_rtt4.395 c:1.109 rttpred:4216.661 rtttarget:5176.000 rttmin4176.000 e:-0.959 eold:-1.085 eavg:-2.597 tim:35
node:116 rate:1.674 new_rtt12.278 c:1.142 rttpred:12132.360 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:-1.176 eavg:-3.292 tim:7
node:116 rate:1.822 new_rtt5.231 c:0.738 rttpred:6065.618 rtttarget:5176.000 rttmin4176.000 e:0.890 eold:-0.959 eavg:-1.155 tim:36
node:116 rate:7.103 new_rtt12.288 c:1.180 rttpred:12070.750 rtttarget:13264.000 rttmin12264.000 e:-1.193 eold:-0.922 eavg:-3.374 tim:26
node:116 rate:1.911 new_rtt12.358 c:1.104 rttpred:12337.612 rtttarget:13264.000 rttmin12264.000 e:-0.926 eold:-1.132 eavg:-3.234 tim:8
node:116 rate:8.383 new_rtt12.270 c:1.138 rttpred:12137.130 rtttarget:13264.000 rttmin12264.000 e:-1.127 eold:-1.193 eavg:-3.242 tim:27
node:116 rate:1.344 new_rtt10.335 c:-1.555 rttpred:17769.435 rtttarget:5176.000 rttmin4176.000 e:12.593 eold:0.890 eavg:12.524 tim:37
node:116 rate:1.000 new_rtt27.410 c:-0.408 rttpred:28724.914 rtttarget:13264.000 rttmin12264.000 e:15.461 eold:20.327 eavg:34.847 tim:32
