node:148 rate:2.067 new_rtt4.176 c:1.060 rttpred:4131.317 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.169 flag:1
node:148 rate:1.000 new_rtt4.183 c:0.965 rttpred:4146.974 rtttarget:3758.400 rttmin4176.000 e:0.103 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt12.284 c:0.980 rttpred:12150.985 rtttarget:11055.600 rttmin12284.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt8.277 c:1.084 rttpred:8154.667 rtttarget:10275.000 rttmin8220.000 e:-0.206 eold:0.121 eavg:0.004 flag:1
node:148 rate:2.190 new_rtt4.176 c:1.060 rttpred:4131.210 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.171 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.981 rttpred:4119.932 rtttarget:3758.400 rttmin4176.000 e:0.096 eold:0.103 eavg:0.000 flag:1
node:148 rate:1.254 new_rtt8.220 c:1.057 rttpred:8080.956 rtttarget:10275.000 rttmin8220.000 e:-0.214 eold:-0.201 eavg:-0.120 flag:1
node:148 rate:1.599 new_rtt13.513 c:1.012 rttpred:14310.632 rtttarget:15330.000 rttmin12264.000 e:-0.066 eold:-0.167 eavg:-0.110 flag:1
node:148 rate:1.084 new_rtt8.220 c:1.051 rttpred:8043.754 rtttarget:10275.000 rttmin8220.000 e:-0.217 eold:-0.206 eavg:-0.051 flag:1
node:148 rate:2.321 new_rtt4.176 c:1.060 rttpred:4131.124 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.173 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.979 rttpred:4130.815 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.096 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt12.283 c:0.980 rttpred:12148.673 rtttarget:11054.700 rttmin12283.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:2.461 new_rtt4.176 c:1.060 rttpred:4131.056 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.175 flag:1
node:148 rate:1.325 new_rtt8.220 c:1.055 rttpred:8132.087 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.214 eavg:-0.131 flag:1
node:148 rate:1.000 new_rtt12.266 c:0.967 rttpred:12135.825 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.970 rttpred:4131.088 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:148 rate:1.618 new_rtt13.526 c:1.053 rttpred:13021.800 rtttarget:15330.000 rttmin12264.000 e:-0.151 eold:-0.066 eavg:-0.113 flag:1
node:148 rate:2.609 new_rtt4.176 c:1.060 rttpred:4131.001 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.177 flag:1
