node:14 rate:10.031 new_rtt4.176 c:1.061 rttpred:4132.427 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.185 flag:1
node:14 rate:10.646 new_rtt4.281 c:1.045 rttpred:4377.382 rtttarget:5220.000 rttmin4176.000 e:-0.161 eold:-0.208 eavg:-0.185 flag:1
node:14 rate:1.000 new_rtt4.176 c:0.980 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:2.955 new_rtt12.264 c:1.061 rttpred:12133.907 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.210 eavg:-0.180 flag:1
node:14 rate:11.130 new_rtt4.176 c:1.078 rttpred:3965.748 rtttarget:5220.000 rttmin4176.000 e:-0.240 eold:-0.161 eavg:-0.186 flag:1
node:14 rate:1.000 new_rtt4.284 c:0.957 rttpred:4382.876 rtttarget:3758.400 rttmin4176.000 e:0.166 eold:0.099 eavg:0.000 flag:1
node:14 rate:11.999 new_rtt4.176 c:1.057 rttpred:4132.018 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.240 eavg:-0.187 flag:1
node:14 rate:1.000 new_rtt12.264 c:1.083 rttpred:12134.487 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:0.097 eavg:-0.004 flag:1
node:14 rate:12.686 new_rtt4.219 c:1.055 rttpred:4236.054 rtttarget:5220.000 rttmin4176.000 e:-0.188 eold:-0.208 eavg:-0.187 flag:1
node:14 rate:3.134 new_rtt12.264 c:1.061 rttpred:12134.089 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.208 eavg:-0.182 flag:1
node:14 rate:1.000 new_rtt4.243 c:0.981 rttpred:4112.296 rtttarget:3758.400 rttmin4176.000 e:0.094 eold:0.166 eavg:0.094 flag:1
node:14 rate:13.380 new_rtt4.176 c:1.068 rttpred:4068.112 rtttarget:5220.000 rttmin4176.000 e:-0.221 eold:-0.188 eavg:-0.187 flag:1
node:14 rate:14.292 new_rtt4.176 c:1.060 rttpred:4134.187 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.221 eavg:-0.188 flag:1
node:14 rate:1.000 new_rtt4.243 c:0.964 rttpred:4181.234 rtttarget:5220.000 rttmin4176.000 e:0.113 eold:0.094 eavg:0.103 flag:1
node:14 rate:15.146 new_rtt4.176 c:1.061 rttpred:4135.222 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.188 flag:1
node:14 rate:1.083 new_rtt12.264 c:1.048 rttpred:12134.475 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.208 eavg:-0.055 flag:1
node:14 rate:3.324 new_rtt12.271 c:1.061 rttpred:12149.711 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.208 eavg:-0.183 flag:1
node:14 rate:1.000 new_rtt8.288 c:0.960 rttpred:8288.689 rtttarget:7398.000 rttmin8220.000 e:0.120 eold:0.000 eavg:0.000 flag:1
node:14 rate:16.076 new_rtt4.176 c:1.062 rttpred:4134.360 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.188 flag:1
node:14 rate:1.000 new_rtt4.202 c:1.087 rttpred:4092.656 rtttarget:5220.000 rttmin4176.000 e:-0.216 eold:0.113 eavg:-0.003 flag:1
node:14 rate:17.064 new_rtt4.176 c:1.062 rttpred:4133.661 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.189 flag:1
node:14 rate:1.000 new_rtt8.220 c:0.987 rttpred:8024.924 rtttarget:7398.000 rttmin8220.000 e:0.085 eold:0.120 eavg:0.000 flag:1
