[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23240, 27.426, 27.426]
[23323, 27.426, 27.426]
[24485, 27.426, 28.041]
[24512, 28.041, 28.041]
[24539, 28.041, 28.041]
[24649, 28.041, 28.041]
[24759, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.041]
[24900, 28.041, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 28.656]
[24900, 28.656, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.271]
[24900, 29.271, 29.886]
[24946, 29.886, 29.886]
[24992, 29.886, 29.886]
[25121, 29.886, 29.886]
[25250, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25315, 29.886, 29.886]
[25398, 29.886, 29.886]
[26560, 29.886, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 30.501]
[26560, 30.501, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.116]
[26560, 31.116, 31.731]
[26623, 31.731, 31.731]
[26686, 31.731, 31.731]
[26749, 31.731, 28.431]
[26892, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
[26975, 28.431, 28.431]
